BehaviorSpace results (NetLogo 6.2.2),,,,,,,,,,,,
dominance_despotism_energy.nlogo,,,,,,,,,,,,
initiator-experiment,,,,,,,,,,,,
12/12/2022 11:22:36:990 -0500,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,
-10,10,-10,10,,,,,,,,,
[run number],winning,resource-dist,assessment-info,assessment-who,[step],ticks,sum [victory-counter] of victories,sum [avoid-counter] of fightsavoided,foraging-efficiency-time,,,
3,initiator,uniform,history,mutual,46272,46272,450,1554,0.720074775,,,0.224550898
7,initiator,uniform,history,mutual,46838,46838,450,1547,0.720293352,,,0.225338007
15,initiator,uniform,history,opponent,47564,47564,450,1540,0.720156,,,0.226130653
10,initiator,uniform,history,mutual,47389,47389,450,1549,0.720359155,,,0.225112556
2,initiator,uniform,history,mutual,48173,48173,450,1567,0.720274843,,,0.223103619
11,initiator,uniform,history,opponent,47331,47331,450,1479,0.72024466,,,0.233281493
12,initiator,uniform,history,opponent,48840,48840,450,1575,0.720479115,,,0.222222222
4,initiator,uniform,history,mutual,49402,49402,450,1591,0.72079268,,,0.220480157
8,initiator,uniform,history,mutual,50359,50359,450,1582,0.720665621,,,0.221456693
16,initiator,uniform,history,opponent,49560,49560,450,1564,0.72025222,,,0.223435948
13,initiator,uniform,history,opponent,48957,48957,450,1634,0.720589497,,,0.215930902
9,initiator,uniform,history,mutual,50645,50645,450,1730,0.719942739,,,0.206422018
14,initiator,uniform,history,opponent,50816,50816,450,1729,0.719907116,,,0.206516751
5,initiator,uniform,history,mutual,51393,51393,450,1727,0.720253731,,,0.206706477
6,initiator,uniform,history,mutual,52926,52926,450,1766,0.720402071,,,0.203068592
1,initiator,uniform,history,mutual,49214,49214,450,1666,0.720366156,,,0.212665406
18,initiator,uniform,history,opponent,45208,45208,450,1575,0.720129181,,,0.222222222
17,initiator,uniform,history,opponent,47223,47223,450,1629,0.720208373,,,0.216450216
31,initiator,uniform,knowledge,mutual,40911,40911,450,1252,0.720600816,,,0.26439483
19,initiator,uniform,history,opponent,45987,45987,450,1462,0.720179616,,,0.235355649
21,initiator,uniform,history,self,48267,48267,450,1598,0.720345163,,,0.219726563
26,initiator,uniform,history,self,47120,47120,450,1512,0.720522071,,,0.229357798
22,initiator,uniform,history,self,47957,47957,450,1621,0.720322372,,,0.217286335
27,initiator,uniform,history,self,49417,49417,450,1698,0.719865633,,,0.209497207
24,initiator,uniform,history,self,51111,51111,450,1635,0.720433957,,,0.215827338
30,initiator,uniform,history,self,50049,50049,450,1605,0.720320086,,,0.218978102
20,initiator,uniform,history,opponent,52048,52048,450,1715,0.720206348,,,0.207852194
25,initiator,uniform,history,self,52857,52857,450,1839,0.720220595,,,0.196592398
28,initiator,uniform,history,self,50728,50728,450,1733,0.720253115,,,0.206138342
23,initiator,uniform,history,self,53316,53316,450,1802,0.720237827,,,0.19982238
29,initiator,uniform,history,self,55841,55841,450,1752,0.720776849,,,0.204359673
41,initiator,uniform,knowledge,opponent,29449,29449,450,658,0.720944684,,,0.406137184
43,initiator,uniform,knowledge,opponent,29232,29232,450,647,0.720990695,,,0.410209663
42,initiator,uniform,knowledge,opponent,30157,30157,450,667,0.720973572,,,0.402864816
34,initiator,uniform,knowledge,mutual,39905,39905,450,1247,0.720137827,,,0.265173836
33,initiator,uniform,knowledge,mutual,41081,41081,450,1218,0.720802804,,,0.269784173
46,initiator,uniform,knowledge,opponent,31359,31359,450,784,0.720871201,,,0.364667747
44,initiator,uniform,knowledge,opponent,34950,34950,450,918,0.720649499,,,0.328947368
38,initiator,uniform,knowledge,mutual,40014,40014,450,1088,0.720405358,,,0.292587776
32,initiator,uniform,knowledge,mutual,46149,46149,451,1457,0.720295131,,,0.236373166
35,initiator,uniform,knowledge,mutual,44585,44585,450,1380,0.720056073,,,0.245901639
37,initiator,uniform,knowledge,mutual,44696,44696,450,1440,0.720348577,,,0.238095238
36,initiator,uniform,knowledge,mutual,46130,46130,450,1521,0.719729027,,,0.228310502
39,initiator,uniform,knowledge,mutual,44095,44095,450,1391,0.720074838,,,0.244432374
47,initiator,uniform,knowledge,opponent,36659,36659,450,1046,0.720554298,,,0.300802139
40,initiator,uniform,knowledge,mutual,45313,45313,450,1391,0.719910401,,,0.244432374
45,initiator,uniform,knowledge,opponent,46403,46403,450,1442,0.720207745,,,0.237843552
61,initiator,clumped,history,mutual,6096,6096,450,739,0.519799869,,,0.378469302
62,initiator,clumped,history,mutual,6001,6001,451,684,0.523546076,,,0.397356828
63,initiator,clumped,history,mutual,6093,6093,450,769,0.509453471,,,0.369155045
64,initiator,clumped,history,mutual,6089,6089,450,710,0.534455576,,,0.387931034
65,initiator,clumped,history,mutual,6046,6046,451,672,0.543764472,,,0.40160285
49,initiator,uniform,knowledge,opponent,27192,27192,450,617,0.720230215,,,0.421743205
66,initiator,clumped,history,mutual,5917,5917,450,614,0.528696975,,,0.422932331
67,initiator,clumped,history,mutual,6017,6017,450,661,0.507910919,,,0.405040504
68,initiator,clumped,history,mutual,6100,6100,450,726,0.524180328,,,0.382653061
69,initiator,clumped,history,mutual,6099,6099,450,697,0.551106739,,,0.392327812
52,initiator,uniform,knowledge,self,33324,33324,450,858,0.720630777,,,0.344036697
48,initiator,uniform,knowledge,opponent,37401,37401,450,983,0.720507473,,,0.314026518
70,initiator,clumped,history,mutual,6103,6103,450,743,0.524807472,,,0.377200335
51,initiator,uniform,knowledge,self,35562,35562,450,906,0.720977448,,,0.331858407
71,initiator,clumped,history,opponent,6046,6046,452,761,0.511826001,,,0.372629843
72,initiator,clumped,history,opponent,5958,5958,450,622,0.518311514,,,0.419776119
73,initiator,clumped,history,opponent,5952,5952,450,645,0.506199597,,,0.410958904
53,initiator,uniform,knowledge,self,36916,36916,450,1004,0.720855456,,,0.309491059
55,initiator,uniform,knowledge,self,33998,33998,450,890,0.720789458,,,0.335820896
74,initiator,clumped,history,opponent,5994,5994,450,661,0.520353687,,,0.405040504
50,initiator,uniform,knowledge,opponent,40719,40719,450,1174,0.720192048,,,0.277093596
76,initiator,clumped,history,opponent,6082,6082,450,684,0.527902006,,,0.396825397
75,initiator,clumped,history,opponent,6091,6091,450,749,0.525233952,,,0.375312761
77,initiator,clumped,history,opponent,6042,6042,450,710,0.518073486,,,0.387931034
57,initiator,uniform,knowledge,self,33919,33919,450,896,0.720749432,,,0.334323923
78,initiator,clumped,history,opponent,6114,6114,450,729,0.519970559,,,0.381679389
79,initiator,clumped,history,opponent,5980,5980,450,639,0.533896321,,,0.41322314
54,initiator,uniform,knowledge,self,39914,39914,450,1228,0.719754973,,,0.2681764
80,initiator,clumped,history,opponent,6085,6085,451,758,0.516236647,,,0.373035567
60,initiator,uniform,knowledge,self,33230,33230,450,790,0.72071923,,,0.362903226
82,initiator,clumped,history,self,6031,6031,450,683,0.519665064,,,0.39717564
83,initiator,clumped,history,self,6047,6047,450,718,0.516702497,,,0.385273973
81,initiator,clumped,history,self,6016,6016,450,661,0.528041888,,,0.405040504
85,initiator,clumped,history,self,6051,6051,450,778,0.514559577,,,0.366449511
84,initiator,clumped,history,self,6050,6050,450,734,0.524380165,,,0.380067568
86,initiator,clumped,history,self,6104,6104,451,734,0.527719528,,,0.380590717
87,initiator,clumped,history,self,5994,5994,450,683,0.527827828,,,0.39717564
59,initiator,uniform,knowledge,self,36447,36447,450,970,0.72092902,,,0.316901408
88,initiator,clumped,history,self,6027,6027,450,666,0.523759748,,,0.403225806
89,initiator,clumped,history,self,6138,6138,450,775,0.534343434,,,0.367346939
90,initiator,clumped,history,self,6072,6072,450,732,0.529133729,,,0.38071066
91,initiator,clumped,knowledge,mutual,5900,5900,450,572,0.502169492,,,0.440313112
92,initiator,clumped,knowledge,mutual,5929,5929,450,586,0.524894586,,,0.434362934
94,initiator,clumped,knowledge,mutual,5885,5885,451,628,0.50468989,,,0.417979611
93,initiator,clumped,knowledge,mutual,6015,6015,450,626,0.542892768,,,0.418215613
95,initiator,clumped,knowledge,mutual,6051,6051,450,707,0.523582879,,,0.388936906
96,initiator,clumped,knowledge,mutual,6127,6127,450,777,0.516778195,,,0.366748166
97,initiator,clumped,knowledge,mutual,6058,6058,450,679,0.522268075,,,0.398582817
98,initiator,clumped,knowledge,mutual,6031,6031,450,670,0.524274581,,,0.401785714
99,initiator,clumped,knowledge,mutual,5945,5945,450,623,0.514179983,,,0.419384902
100,initiator,clumped,knowledge,mutual,5916,5916,450,584,0.522768763,,,0.435203095
101,initiator,clumped,knowledge,opponent,6080,6080,450,713,0.527319079,,,0.386930353
102,initiator,clumped,knowledge,opponent,6174,6174,450,835,0.521039845,,,0.350194553
103,initiator,clumped,knowledge,opponent,5877,5877,484,451,0.528143611,,,0.517647059
104,initiator,clumped,knowledge,opponent,5803,5803,453,451,0.509426159,,,0.501106195
105,initiator,clumped,knowledge,opponent,5871,5871,450,452,0.544200307,,,0.498891353
58,initiator,uniform,knowledge,self,44509,44509,450,1345,0.72087443,,,0.250696379
107,initiator,clumped,knowledge,opponent,5834,5834,451,515,0.52252314,,,0.466873706
106,initiator,clumped,knowledge,opponent,5907,5907,581,450,0.522634163,,,0.563530553
108,initiator,clumped,knowledge,opponent,6025,6025,451,680,0.50393361,,,0.398762157
111,initiator,clumped,knowledge,self,6003,6003,450,658,0.519323671,,,0.406137184
110,initiator,clumped,knowledge,opponent,5972,5972,450,606,0.533037508,,,0.426136364
109,initiator,clumped,knowledge,opponent,6195,6195,450,897,0.51551251,,,0.334075724
112,initiator,clumped,knowledge,self,5837,5837,470,451,0.518160014,,,0.510314875
114,initiator,clumped,knowledge,self,5971,5971,450,663,0.51550829,,,0.404312668
113,initiator,clumped,knowledge,self,6042,6042,450,748,0.515028136,,,0.375626043
116,initiator,clumped,knowledge,self,5907,5907,450,535,0.53467073,,,0.456852792
115,initiator,clumped,knowledge,self,5853,5853,510,450,0.521407825,,,0.53125
117,initiator,clumped,knowledge,self,5914,5914,452,603,0.508927968,,,0.428436019
118,initiator,clumped,knowledge,self,6244,6244,451,924,0.512363869,,,0.328
119,initiator,clumped,knowledge,self,5973,5973,530,450,0.550493889,,,0.540816327
120,initiator,clumped,knowledge,self,5870,5870,450,583,0.510647359,,,0.435624395
56,initiator,uniform,knowledge,self,41074,41074,450,1335,0.72017578,,,0.25210084
